title;link;published
9살에 맞아 교사 가슴뼈 다쳐도... 맞고소 우려, 교권보호위 엄두 못낸다 - 조선일보;https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LmNob3N1bi5jb20vbmF0aW9uYWwvbmF0aW9uYWxfZ2VuZXJhbC8yMDIzLzA3LzI1L0VORFNUUVRMWkZBWFhQTVdWNkFBV01aTzRJL9IBZmh0dHBzOi8vd3d3LmNob3N1bi5jb20vbmF0aW9uYWwvbmF0aW9uYWxfZ2VuZXJhbC8yMDIzLzA3LzI1L0VORFNUUVRMWkZBWFhQTVdWNkFBV01aTzRJLz9vdXRwdXRUeXBlPWFtcA?oc=5;2023-07-25 00:33:20
"[포토] 윤재옥 ""학생인권조례서 교권 침해·학습권 방해 조항 개정·폐지 ... - 아시아경제";https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vd3d3LmFzaWFlLmNvLmtyL2FydGljbGUvMjAyMzA3MjUwOTU1Mzc2MzU3MtIBAA?oc=5;2023-07-25 00:25:00
이주호 “학생인권만 주장해 교권 침해” - 매일노동뉴스;https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LmxhYm9ydG9kYXkuY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTIxNjM4N9IBQWh0dHA6Ly93d3cubGFib3J0b2RheS5jby5rci9uZXdzL2FydGljbGVWaWV3QW1wLmh0bWw_aWR4bm89MjE2Mzg3?oc=5;2023-07-24 22:30:05
교권 침해 '상상 초월'‥허약한 방어막 - MBC뉴스;https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vaW1uZXdzLmltYmMuY29tL3JlcGxheS8yMDIzL253dG9kYXkvYXJ0aWNsZS82NTA3MTkwXzM2MjA3Lmh0bWzSAUZodHRwczovL2ltbmV3cy5pbWJjLmNvbS9yZXBsYXkvMjAyMy9ud3RvZGF5L2FydGljbGUvNjUwNzE5MF8zNjIwOC5odG1s?oc=5;2023-07-24 22:23:18
조희연 교육감 “교권 추락이 학생인권조례 때문? 과도한 단순화” - 한겨레;https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9zb2NpZXR5L3NvY2lldHlfZ2VuZXJhbC8xMTAxNTY4Lmh0bWzSAQA?oc=5;2023-07-24 20:00:34
사건때마다 교사보호대책 내놔도…'교권 침해' 건수만 줄뿐 심각해져 - 한겨레;https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9zb2NpZXR5L3NjaG9vbGluZy8xMTAxNTY1Lmh0bWzSAQA?oc=5;2023-07-24 20:00:24
[심층] 교권보호위원회는 교사 추궁위원회? '2차 가해' 논란 ::::: 기사 - 대구MBC;https://news.google.com/rss/articles/CBMiJmh0dHA6Ly9kZ21iYy5jb20vYXJ0aWNsZS8wMkF2TVlfc0VNc3Va0gEA?oc=5;2023-07-24 15:03:10
'을'이 돼버린 교사 인권 교권 보호 대책 마련하라 - 광주드림;https://news.google.com/rss/articles/CBMiOWh0dHA6Ly93d3cuZ2pkcmVhbS5jb20vbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTYzMTEwOdIBAA?oc=5;2023-07-24 15:00:00
‘금쪽이 훈육법’이 교권 추락 주범? 오은영에 쏟아진 화풀이 댓글들 - 조선일보;https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LmNob3N1bi5jb20vbmF0aW9uYWwvbmF0aW9uYWxfZ2VuZXJhbC8yMDIzLzA3LzI0L01ZWllDSVc2TVJDNTNJM1FOQjRaNkpOV1lJL9IBZmh0dHBzOi8vd3d3LmNob3N1bi5jb20vbmF0aW9uYWwvbmF0aW9uYWxfZ2VuZXJhbC8yMDIzLzA3LzI0L01ZWllDSVc2TVJDNTNJM1FOQjRaNkpOV1lJLz9vdXRwdXRUeXBlPWFtcA?oc=5;2023-07-24 13:43:00
교권강화 나선 교육당국…학생인권조례 놓고 파열음 - 연합뉴스TV;https://news.google.com/rss/articles/CBMiOGh0dHBzOi8vd3d3LnlvbmhhcG5ld3N0di5jby5rci9uZXdzL01ZSDIwMjMwNzI0MDIzMjAwNjQx0gEA?oc=5;2023-07-24 12:08:53
