Title;Link;Published;redirect;redirectLink;articleImage;articleBody
미국 유일 '한국어 마을' 체험 열풍 “공간이 부족해요” - KBS뉴스;https://news.google.com/rss/articles/CBMiL2h0dHBzOi8vbmV3cy5rYnMuY28ua3IvbmV3cy92aWV3LmRvP25jZD03NzI5MTU00gEA?oc=5;2023-07-20 14:15:00;;;;
JYP 박진영 안목&멘토링 빛난 'A2K', 글로벌 원석 발굴에 조회수 폭발 - 매일경제;https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vd3d3Lm1rLmNvLmtyL3N0YXIvbXVzaWNzL3ZpZXcvMjAyMy8wNy81NTQ1NjAv0gEA?oc=5;2023-07-20 06:48:02;;;;
[코인리더스] 두들스-캠프, 시카고에 가족체험 놀이 공간 꾸린다 - 코인리더스;https://news.google.com/rss/articles/CBMiIWh0dHBzOi8vd3d3LmNvaW5yZWFkZXJzLmNvbS83NjMyNdIBAA?oc=5;2023-07-19 14:19:29;;;;
[학술] 대한치과위생사협회, KDHEX 2023 많은 회원 참여 속, 성황리 ... - 덴탈아리랑;https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LmRlbnRhbGFyaXJhbmcuY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0zODg5MtIBAA?oc=5;2023-07-19 01:13:21;;;;
"[학교탐방] ""렛츠고! 가보자!"" 청주 일신여자중학교 - 교육연합신문";https://news.google.com/rss/articles/CBMiMGh0dHBzOi8vd3d3LmVkdXlvbmhhcC5jb20vbmV3cy92aWV3LnBocD9ubz03NDg5N9IBAA?oc=5;2023-07-17 04:36:00;;;;
[2024 수시특집/호서대학교] '벤처 퍼스트(Venture 1st)' 모토로 입학 ... - 한국대학신문;https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vbmV3cy51bm4ubmV0L25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz01NDk3NjDSAQA?oc=5;2023-07-16 03:45:00;;;;
땅끝까지 찾아가는 게임과몰입 문화예술 치유 프로그램 - 뉴스와이어;https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lm5ld3N3aXJlLmNvLmtyL25ld3NSZWFkLnBocD9ubz05NzA0MDXSAQA?oc=5;2023-07-13 07:00:00;;;;
오산대학교, '첨단산업 인재양성 부트캠프' 참여 대학 선정 - 쿠키뉴스;https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lmt1a2luZXdzLmNvbS9uZXdzVmlldy9rdWsyMDIzMDcwNDAwNzDSAQA?oc=5;2023-07-04 07:00:00;;;;
뉴진스, '캠프 콘셉트' 팬미팅도 수준 높네…신곡 'ETA' 첫 공개 - 뉴시스;https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vbW9iaWxlLm5ld3Npcy5jb20vdmlldy5odG1sP2FyX2lkPU5JU1gyMDIzMDcwM18wMDAyMzYwODQ00gFFaHR0cHM6Ly9tb2JpbGUubmV3c2lzLmNvbS92aWV3X2FtcC5odG1sP2FyX2lkPU5JU1gyMDIzMDcwM18wMDAyMzYwODQ0?oc=5;2023-07-03 07:00:00;;;;
청소년 여름방학 캠프에 도전하기 - 우리문화신문;https://news.google.com/rss/articles/CBMiOGh0dHBzOi8vd3d3LmtveWEtY3VsdHVyZS5jb20vbmV3cy9hcnRpY2xlLmh0bWw_bm89MTQxMjAy0gEA?oc=5;2023-07-03 07:00:00;;;;
부산 기장군, 하계 기장청소년 영어캠프 참가자 모집 - 뉴시스;https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vbW9iaWxlLm5ld3Npcy5jb20vdmlldy5odG1sP2FyX2lkPU5JU1gyMDIzMDYzMF8wMDAyMzU5ODE30gFFaHR0cHM6Ly9tb2JpbGUubmV3c2lzLmNvbS92aWV3X2FtcC5odG1sP2FyX2lkPU5JU1gyMDIzMDYzMF8wMDAyMzU5ODE3?oc=5;2023-07-01 07:00:00;;;;
인제대, 2023학년도 취업·진로 캠프 운영 < 대학뉴스 < 뉴스 < 기사본문 - 한국대학신문;https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vbmV3cy51bm4ubmV0L25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz01NDkxNTnSAQA?oc=5;2023-06-30 07:00:00;;;;
한국공대, 교육부 '첨단산업 인재양성 부트캠프 사업' 선정 - 머니투데이;https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vbmV3cy5tdC5jby5rci9tdHZpZXcucGhwP25vPTIwMjMwNjMwMTUxOTUzOTc2OTnSAT1odHRwczovL20ubXQuY28ua3IvcmVuZXcvdmlld19hbXAuaHRtbD9ubz0yMDIzMDYzMDE1MTk1Mzk3Njk5?oc=5;2023-06-30 07:00:00;;;;
이케아 코리아, 뮤지션 빈지노와 함께 ‘노비츠키 리스닝 스튜디오’ 공개 - 매일경제;https://news.google.com/rss/articles/CBMiK2h0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvYnVzaW5lc3MvMTA3NzMzMDbSAR9odHRwczovL20ubWsuY28ua3IvYW1wLzEwNzczMzA2?oc=5;2023-06-30 07:00:00;;;;
기장군, 하계 청소년 영어캠프 참가 신청 접수 - 뉴스로(NEWSRO);https://news.google.com/rss/articles/CBMivwFodHRwczovL3d3dy5uZXdzcm8ua3IvJUVBJUI4JUIwJUVDJTlFJUE1JUVBJUI1JUIwLSVFRCU5NSU5OCVFQSVCMyU4NC0lRUMlQjIlQUQlRUMlODYlOEMlRUIlODUlODQtJUVDJTk4JTgxJUVDJTk2JUI0JUVDJUJBJUEwJUVEJTk0JTg0LSVFQyVCMCVCOCVFQSVCMCU4MC0lRUMlOEIlQTAlRUMlQjIlQUQtJUVDJUEwJTkxJUVDJTg4JTk4L9IBAA?oc=5;2023-06-28 07:00:00;;;;
자란다, 아이 잠재력 키우는 '2023 여름캠프' 출시 - ZD넷 코리아;https://news.google.com/rss/articles/CBMiK2h0dHBzOi8vemRuZXQuY28ua3Ivdmlldy8_bm89MjAyMzA2MjgxMDE2MTnSAQA?oc=5;2023-06-28 07:00:00;;;;
자란다, '2023 여름캠프' 런칭…'아이의 잠재력 키운다' - 신아일보;https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LnNoaW5haWxiby5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MTcyNDE2MdIBAA?oc=5;2023-06-28 07:00:00;;;;
환경공단, 'K-eco 소통캠프' 진행 - 투데이에너지;https://news.google.com/rss/articles/CBMiPGh0dHA6Ly93d3cudG9kYXllbmVyZ3kua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTI2MTg4NtIBAA?oc=5;2023-06-26 07:00:00;;;;
'몸값' 7월 5일 극장 개봉, 스크린으로 몰입도↑ - 뉴스엔;https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vbS5uZXdzZW4uY29tL25ld3Nfdmlldy5waHA_dWlkPTIwMjMwNjIyMTU0NjI5MjQxMNIBAA?oc=5;2023-06-22 07:00:00;;;;
곡성군 워케이션, 관광과 업무 몰입도 최상 '차별화' - 광주in;https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vd3d3Lmd3YW5nanVpbi5jb20vbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTI0NDM5MdIBAA?oc=5;2023-06-15 07:00:00;;;;
동덕여대 대학원 교육컨설팅전공 김영현, 춘계학술대회 석사학위논문 ... - 조선에듀;https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vZWR1LmNob3N1bi5jb20vc2l0ZS9kYXRhL2h0bWxfZGlyLzIwMjMvMDYvMTMvMjAyMzA2MTMwMjE1Ni5odG1s0gEA?oc=5;2023-06-13 07:00:00;;;;
국제학교 '루즈벨트컬리짓서울', 초등 영어 썸머캠프 모집 - 한국강사신문;https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LmxlY3R1cmVybmV3cy5jb20vbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTEyODQ5N9IBAA?oc=5;2023-06-13 05:30:08;;;;
전남매일 - 전남매일;https://news.google.com/rss/articles/CBMiNWh0dHA6Ly9tLmpuZG4uY29tL2FydGljbGUucGhwP2FpZD0xNjg2NTU1Nzg4MzYyNjc0MTE10gEA?oc=5;2023-06-12 07:00:00;;;;
뮤직페스티벌 '베이스 캠프: 더 팩토리' 6월 23일 프로보크 서울 개최 - 선데이뉴스신문;https://news.google.com/rss/articles/CBMiQ2h0dHA6Ly93d3cubmV3c3N1bmRheS5jby5rci9iYnMvYm9hcmQucGhwP2JvX3RhYmxlPW5ld3Mmd3JfaWQ9ODgyMjLSAQA?oc=5;2023-06-11 07:00:00;;;;
한국게임미디어협회, 김경일 게임문화재단 이사장 초청 강연회 진행 - ZD넷 코리아;https://news.google.com/rss/articles/CBMiK2h0dHBzOi8vemRuZXQuY28ua3Ivdmlldy8_bm89MjAyMzA2MDkxODIzMDPSAQA?oc=5;2023-06-09 07:00:00;;;;
국립어린이청소년도서관, 실감나는 토론에 몰입…찾아가는 VR 토론 ... - 한국강사신문;https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LmxlY3R1cmVybmV3cy5jb20vbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTEyODA4N9IBAA?oc=5;2023-06-08 07:00:00;;;;
차서원, 엄현경과 결혼・임신 소식에 악플 세례…'드라마 몰입 깼다' 선 넘은 비난 - 한국아이닷컴;https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3Lmhhbmtvb2tpLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89ODMxODPSAT1odHRwczovL3d3dy5oYW5rb29raS5jb20vbmV3cy9hcnRpY2xlVmlld0FtcC5odG1sP2lkeG5vPTgzMTgz?oc=5;2023-06-08 07:00:00;;;;
